Subject,Group,Reading,Writing
201,1,0.81,1.00
202,1,0.75,0.88
203,1,0.69,0.69
205,1,0.57,0.71
206,1,0.55,0.62
207,1,0.53,0.75
208,1,0.56,0.62
209,1,0.46,0.75
210,1,0.55,0.57
212,1,0.77,0.60
214,1,0.62,0.82
215,1,0.57,0.64
216,1,0.66,0.70
217,1,0.65,0.87
218,1,0.66,0.71
219,1,0.61,0.65
220,1,0.75,0.62
221,1,0.73,0.78
222,1,0.66,0.63
223,1,0.53,0.86
302,2,0.58,0.55
303,2,0.81,0.68
304,2,0.51,0.41
305,2,0.58,0.73
306,2,0.54,0.59
307,2,0.54,0.58
308,2,0.55,0.65
309,2,0.54,0.43
310,2,0.57,0.57
311,2,0.65,0.60
312,2,0.68,0.61
313,2,0.57,0.59
314,2,0.63,0.55
315,2,0.35,0.46
