Time (h)	Mannitol	Inositol	Sorbitol	Rhamnose	Sucrose	Lactose
 1	 0.2054183	 0.1266039	 0.2485959	 0.7791391	 0.6484611	 0.3793394
 2	 0.4548433	 0.1653758	 0.5369149	 0.9104064	 0.8849223	 0.3866269
 3	 1.1309680	 0.1948297	 0.5841197	 1.2247057	 1.3633131	 0.4657357
 4	 2.0990684	 0.3243677	 0.6332420	 1.2052999	 2.2078335	 0.8166276
 5	 3.0617158	 0.5317284	 1.1851830	 1.6816882	 2.7616652	 0.8558457
 6	 3.7896505	 1.0598055	 2.3468473	 3.0780862	 3.5830066	 1.3821836
 7	 3.9813529	 1.3011642	 3.7243708	 3.9128713	 4.4838851	 1.7858596
 8	 4.2003855	 1.8357635	 5.0250697	 5.8850025	 5.5505135	 3.6667633
 9	 4.1863565	 1.9781981	 5.6367802	 6.9905779	 5.9768733	 5.5060795
10	 4.3119595	 2.2727018	 6.6592983	 8.6356179	 6.4355347	 6.5774936
11	 4.2192171	 2.3196973	 6.9455743	 9.4025726	 6.7371534	 7.1940099
12	 4.2009752	 2.4495329	 7.1960528	 9.6948090	 6.8251140	 7.4915348
13	 4.2816567	 2.4074238	 7.1416103	 9.8128860	 6.8499686	 7.7249221
14	 4.2204858	 2.4711499	 7.4300061	 9.7613489	 6.9615370	 7.6915789
15	 4.2253411	 2.4187549	 7.3197057	10.0599528	 6.7954706	 7.8750075
16	 4.3495493	 2.4988415	 7.3527352	 9.9301089	 7.0163252	 7.9815472
17	 4.3370329	 2.4902711	 7.3034246	 9.8500371	 6.9370452	 7.7350499
18	 4.2500607	 2.4750449	 7.3284913	10.1294913	 6.9384898	 7.8073869
19	 4.2768502	 2.4442857	 7.4414831	 9.9784101	 6.8970194	 7.8525769
20	 4.2892242	 2.4707914	 7.3190433	10.0593170	 6.8218159	 7.8178360
